상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적,TRDAR_CD,총_유동인구_수,야간_유동인구_17_24,야간_비율,주말_평균,주중_평균,주말_프리미엄,남성_유동인구_수,여성_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,총_매출,총_상주인구,평균_소득,총_인구,인당_매출효율,야간_매출효율,주류친화_지수,타겟연령_비율,성비_균형도,야간_유동인구_17_24_점수,총_매출_점수,주류친화_지수_점수,한식_월매출,한식_월건수,한식_주중매출,한식_주말매출,한식_월요일,한식_화요일,한식_수요일,한식_목요일,한식_금요일,한식_토요일,한식_일요일,한식_점포수,T1_야간유동인구,T2_한식매출밀도,C1_경쟁밀도,C2_상권활성도,E1_주류친화지수,T1_점수,T2_점수,C1_점수,C2_점수,E1_점수,곱창집_적합도_점수,T1_점수_v2,T2_한식매출밀도_v2,T2_점수_v2,C1_점수_v2,C2_점수_v2,E1_점수_v2,곱창집_적합도_v2
R,전통시장,3130317,마천중앙시장,213364,444298,11710,송파구,11710550,마천2동,33745,3130317,644978,194499,0.3015591229468292,98189.5,89719.8,1.094401681680075,311813,333165,60565,76398,87229,8974453919.0,47048.0,2294091.0,692026.0,12968.37679364648,46141.38848528784,0.2186961464401275,0.3475963521236383,0.966894994868042,3.0,4.0,5.0,1810077960.0,58371.0,1135568284.0,674509676.0,228236590.0,186270690.0,208993847.0,235442362.0,276624795.0,369774109.0,304735567.0,1.0,194499,9306.313419023136,0.5,8974453919.0,0.1791210919994257,7.714250018343748,0.0020702000317186,0.0,0.8613202070385902,42.466359960860295,6.690626582652873,5.843972170751773,9306.361266638904,3.300200868967046,26.666666666666664,0.8600823394002819,51.939824489528576,13.234570001663528
R,전통시장,3130318,로데오거리상점가,211228,448860,11740,강동구,11740610,천호2동,56564,3130318,502255,179059,0.3565101392718838,79980.0,68459.0,1.1682905096481109,234414,267841,105662,100125,76884,35319665033.0,31988.0,3397303.0,534243.0,66111.61032152036,197251.548556621,0.2812222874223745,0.5628037550646584,0.9334461578281948,3.0,5.0,5.0,5531083080.0,136842.0,3602813879.0,1928269201.0,680780250.0,607118462.0,662739704.0,687689163.0,964486300.0,1094315259.0,833953942.0,1.0,179059,30889.551435273093,0.5,35319665033.0,0.1908081227441376,7.101866302832473,0.0068714159390293,0.0,3.389793013962793,45.23714283706209,7.164460980635127,5.219177788397843,30889.723945738555,10.9642981829346,26.666666666666664,3.3885867173991517,55.32871813998125,15.681321037194333
R,전통시장,3130319,성내전통시장,211269,448247,11740,강동구,11740650,성내2동,31651,3130319,693015,203621,0.2938190371059789,108917.0,95036.2,1.1460580284144355,337178,355836,77169,109869,107792,3888324062.0,54632.0,2375070.0,747647.0,5200.748564496346,19095.88923539321,0.2347146336293616,0.4254309069789254,0.9730770618240586,3.0,3.0,5.0,488957216.0,11700.0,305070588.0,183886628.0,51869819.0,46247791.0,61744791.0,52971898.0,92236289.0,102662398.0,81224230.0,1.0,203621,2401.2985630236417,0.5,3888324062.0,0.1771043039050656,8.07604822125138,0.0005341716034596,0.0,0.3731805986573223,41.988216107314855,6.677746709806363,6.213102634212429,2401.310356004538,0.8482668064287586,26.666666666666664,0.37193663599913424,51.355015523369396,12.600622872941063
R,전통시장,3130320,암사종합시장,211408,450161,11740,강동구,11740570,암사1동,37201,3130320,199637,67345,0.3373372671398588,29471.0,28139.2,1.0473289930061978,94438,105198,21912,30969,34600,15350551390.0,42208.0,2532248.0,241845.0,63472.68452934731,227938.99161036455,0.2213339574863944,0.438200333605494,0.9461021754484388,2.0,5.0,5.0,1431265317.0,75899.0,964373534.0,466891783.0,212730752.0,167977946.0,193344095.0,170118173.0,220202568.0,295840437.0,171051346.0,1.0,67345,21252.417619457727,0.5,15350551390.0,0.163317639711734,2.671048013025053,0.0047276245328215,0.0,1.4732640248337898,38.719648247671614,4.895450738532951,0.6985638227056915,21252.733194743487,7.542271873709254,26.666666666666664,1.4720337980622964,47.35729020149112,12.38500453843081
R,전통시장,3130323,둔촌역전통시장,211868,447599,11740,강동구,11740660,성내3동,36613,3130323,311047,91640,0.2946178551794423,45727.0,43918.2,1.0411856587929378,151672,159375,38283,39802,50726,15501845163.0,68012.0,2608832.0,379059.0,40895.59979581015,169160.24839589698,0.1932449766248405,0.4141206955861976,0.975235253836237,2.0,5.0,3.0,1752145153.0,48486.0,1171600994.0,580544159.0,210198917.0,192609183.0,228667767.0,219922354.0,320202773.0,328491154.0,252053005.0,1.0,91640,19119.664265994477,0.5,15501845163.0,0.1459866679077323,3.634640135327282,0.004253191117441,0.0,1.4877843939905273,34.61078938082963,4.775701935559087,1.6816842578927838,19119.872904845044,6.78490847941723,26.666666666666664,1.4865543485235977,42.3318203806531,11.990230920899325
R,전통시장,3130310,강남개포시장,205978,443274,11680,강남구,11680670,개포2동,25364,3130310,242509,81453,0.3358761942855729,34174.0,34832.4,0.9810980581297872,106794,135716,24932,27930,39840,13677057857.0,4400.0,3919692.0,246909.0,55393.11186307506,167913.49437098694,0.1939649398232586,0.3822621016127236,0.8807384468205304,2.0,5.0,3.0,2654958267.0,85601.0,1746131883.0,908826384.0,256464960.0,336573051.0,320204437.0,360208884.0,472680551.0,524748953.0,384077431.0,1.0,81453,32594.571991553516,0.5,13677057857.0,0.1748160557247778,3.2306017344261577,0.0072506997059479,0.0,1.3126510438846477,41.44571399425159,5.3124622512621915,1.2694575497943723,32594.972155721705,11.569819594036842,26.666666666666664,1.311418811663699,50.69149115193348,13.872487433723759
R,전통시장,3130311,새마을시장,207534,445500,11710,송파구,11710650,잠실본동,79375,3130311,1060122,352319,0.3323381648527245,160471.0,147835.8,1.0854677960277552,486484,573638,170214,192933,188810,32323868911.0,106804.0,2763094.0,1166926.0,27700.016034435776,91746.02820455328,0.2335900173227367,0.5206542265890153,0.9177887073374574,4.0,5.0,5.0,5941569676.0,195808.0,4097547730.0,1844021946.0,596015909.0,696610728.0,790574989.0,850156153.0,1164189951.0,1145594251.0,698427695.0,1.0,352319,16864.128281108082,0.5,32323868911.0,0.1495622093904853,13.973731752928554,0.0037514445656959,0.0,3.102272485211339,35.45848537222112,8.204246797023803,12.230309568620754,16864.176147184797,5.983926736278102,26.666666666666664,3.1010625986023315,43.36862177978645,15.30042945575808
R,전통시장,3130312,석촌시장,209466,444551,11710,송파구,11710600,석촌동,46711,3130312,275686,88717,0.3218045167328047,40397.0,38978.8,1.0363838804683572,135407,140279,31490,52132,52693,17689629126.0,40844.0,2546547.0,316530.0,55886.10598047578,199393.9056325169,0.2076362622270256,0.4944574624754249,0.982327720667716,2.0,5.0,4.0,4272525186.0,143143.0,2860975800.0,1411549386.0,534916403.0,567695682.0,510265096.0,575153912.0,672944707.0,805986060.0,605563326.0,1.0,88717,48158.49304537974,0.5,17689629126.0,0.158771465488395,3.518707648252188,0.0107129116913551,0.0,1.6977562265916624,37.6418328499533,5.077137241382575,1.5634022643940446,48159.03587812933,17.09650701262124,26.666666666666664,1.6965288028798042,46.0390339826225,14.934863484501076
R,전통시장,3130313,방이시장,210214,445738,11710,송파구,11710562,방이2동,143645,3130313,1043621,303266,0.2905901663534942,150420.0,148555.8,1.0125488200393389,482887,560734,151078,216779,180230,17749807996.0,236012.0,2670550.0,1279633.0,13871.014576835702,58528.84265298451,0.179373627827832,0.5251782016651639,0.9254068287242208,4.0,5.0,3.0,1984564279.0,78202.0,1376409358.0,608154921.0,251535098.0,247736027.0,260177493.0,278274002.0,338686738.0,334092000.0,274062921.0,1.0,303266,6543.9506408544285,0.5,17749807996.0,0.128394702825946,12.028183929290304,0.0014557092818913,0.0,1.7035318734706342,30.44005374471361,6.90835426159952,10.245332959967433,6543.972219107978,2.3192963271638165,26.666666666666664,1.7023045218747892,37.23067021968291,12.965170003364026
R,전통시장,3130324,길동복조리시장,212690,448844,11740,강동구,11740685,길동,29464,3130324,524309,148975,0.2841358817033467,76075.0,74432.0,1.0220738392089423,232653,291655,58287,72400,85120,6182846131.0,50852.0,2554325.0,575161.0,10749.76594553525,41502.57513676791,0.1793110647055849,0.4116026999345805,0.887467123394792,3.0,4.0,3.0,977902982.0,36279.0,625205033.0,352697949.0,58974294.0,123482199.0,157319577.0,139546006.0,145882957.0,194565448.0,158132501.0,1.0,148975,6564.164576844592,0.5,6182846131.0,0.1602897392264512,5.908669949371256,0.0014602058950016,0.0,0.5933965852079458,38.001787997388554,5.662154323805174,4.001799925785434,6564.208639033395,2.3264821347648215,26.666666666666664,0.5921553722156173,46.47928851287398,11.852246001879909
