상권_코드,상권명,총_유동인구,야간_17_24시,야간_18_01시,야간_19_02시,최적야간구간_17-24시,최고요일_수,주말_평균,주중_평균
3120169,서초역,1505137,412619,367129.3333333333,321639.6666666667,412619,234217,139684.0,245153.6
3120168,서울고교교차로,273506,74743,69633.91666666667,64524.83333333333,74743,41184,32147.0,41842.6
3120167,고속터미널(고속터미널역),559354,197073,163749.0,130425.0,197073,80182,77467.5,80883.8
3120166,방배역,957220,303554,279827.0833333333,256100.16666666663,303554,140087,118816.0,143917.4
3120165,서래마을카페거리(서래마을),724627,207087,202038.25,196989.5,207087,104894,99878.0,104973.8
3120164,내방역,1321234,406656,384555.4166666667,362454.8333333333,406656,191759,174183.0,194573.4
3120163,사당역 11번(사당역먹자골목),1190194,341083,355347.75,369612.5,341083,168144,173650.0,168578.8
3120162,방배동카페골목,803423,241830,237260.16666666663,232690.3333333333,241830,114878,115452.0,114504.2
3120161,방배동가구거리(사당동가구거리),570565,180040,173066.25,166092.5,180040,82836,79203.5,82431.4
3120160,사당역(사당),1866085,669974,612345.5833333334,554717.1666666666,669974,269081,255856.0,270874.2
3120159,서울대입구역,3148204,1058579,1004944.5833333334,951310.1666666666,1058579,453242,447741.5,450544.4
3120158,녹두거리(대학동),940557,308218,289894.25,271570.5,308218,136308,131571.0,135482.6
3120157,신림역(신림),4674152,1589169,1516913.4166666667,1444657.8333333333,1589169,664482,693311.5,657506.2
3120156,"총신대입구역(이수, 총신대)",3294617,1112349,1028719.3333333334,945089.6666666666,1112349,474471,456755.0,476221.4
3120155,총신대학교,226121,61450,65806.33333333333,70162.66666666666,61450,32040,33659.5,31760.2
3120154,장승배기역,561690,190950,179059.83333333334,167169.66666666666,190950,80255,78376.5,80987.6
3120153,노량진역(노량진),1742967,545221,499610.0,453999.0,545221,260097,215862.5,262249.0
3120152,신대방삼거리역,1023933,348172,328618.1666666667,309064.3333333333,348172,145053,148439.5,145410.8
3120151,보라매공원,1381704,389794,383002.0,376210.0,389794,208250,169559.5,208516.8
3120150,63빌딩,50920,13232,12522.666666666666,11813.333333333332,13232,7838,5537.0,7969.4
3120149,여의도역(여의도),1477779,382446,330672.5833333333,278899.1666666667,382446,234560,122473.0,246566.4
3120148,국회의사당역(국회의사당),373322,84169,74500.75,64832.5,84169,60066,31186.0,62190.0
3120147,보라매역,821242,258872,248550.91666666663,238229.8333333333,258872,118394,111738.5,119552.8
3120146,한강성심병원,483837,123570,123821.91666666666,124073.83333333331,123570,71353,61370.0,72219.2
3120145,영등포역(영등포),3375833,1085060,992267.0833333334,899474.1666666666,1085060,476146,502938.0,473991.0
3120144,영중로,1841338,521892,511782.8333333333,501673.6666666666,521892,268520,244598.0,270428.6
3120143,당산역,1106394,377497,341916.25,306335.5,377497,164124,138209.5,165995.0
3120142,대림역,1684431,610932,557646.1666666666,504360.3333333333,610932,237614,234002.5,243285.6
3120141,영등포청과시장교차로,462368,128136,128647.33333333331,129158.66666666666,128136,65780,65340.0,66338.0
3120140,문래동주민센터,127035,33030,30976.25,28922.5,33030,19070,14553.5,19585.4
3120139,대림3동사거리,990816,293523,292090.6666666667,290658.3333333333,293523,141164,140606.0,141920.8
3120138,당산2동(영등포우체국),615741,172547,170896.08333333334,169245.16666666666,172547,90430,78529.0,91736.4
3120137,문래역(문래로데오거리),36931,10488,10069.25,9650.5,10488,5375,4857.0,5443.0
3120136,영등포구청역,1833428,551015,514761.75,478508.5,551015,268294,232528.0,273674.4
3120135,양평역,458400,117260,107436.08333333331,97612.16666666666,117260,70495,45008.0,73676.8
3120134,구로전화국,642650,199170,189935.91666666663,180701.8333333333,199170,93759,86388.0,93974.4
3120133,서울시흥동우체국(홈플러스시흥점),159919,58601,52371.333333333336,46141.666666666664,58601,22979,22550.5,22963.8
3120132,독산동,1054914,307269,299435.9166666667,291602.8333333333,307269,154389,137900.5,155823.0
3120131,가산디지털단지,1110319,283195,252576.75,221958.5,283195,174381,90880.5,185711.8
3120130,구로디지털단지역,1349973,440395,405309.9166666667,370224.8333333333,440395,201771,154497.0,208195.4
3120129,구로디지털단지,674303,169710,149146.5,128583.0,169710,107347,50649.5,114601.2
3120128,신도림역,589537,192846,178802.25,164758.5,192846,84562,84676.0,84037.6
3120127,구로구청,587459,171403,175074.0,178745.0,171403,84583,80843.0,85154.8
3120126,디지털단지오거리,256797,78954,75780.66666666667,72607.33333333333,78954,36300,35907.5,36997.0
3120125,구로역,733777,215590,202568.58333333337,189547.16666666663,215590,107637,92481.0,109762.6
3120124,개봉동 현대아파트,977501,308598,302666.1666666667,296734.3333333333,308598,136937,148794.5,135982.2
3120123,오류동역,680022,235244,223286.16666666663,211328.3333333333,235244,99796,96641.0,97348.0
3120122,강서구청,1785772,538479,540124.1666666666,541769.3333333333,538479,252058,261971.0,252365.6
3120121,까치산역,2705553,916843,871484.75,826126.5,916843,371691,403760.5,379606.6
3120120,화곡역,1795407,639344,589776.0,540208.0,639344,256735,258566.0,255655.4
3120119,발산역(마곡),831891,261949,234298.08333333337,206647.16666666663,261949,124372,104723.5,124489.2
3120118,마곡역(마곡),121453,34506,33155.5,31805.0,34506,18251,14397.5,18531.6
3120117,강서농산물도매시장,11011,3088,3115.1666666666665,3142.333333333333,3088,1571,1556.5,1579.6
3120116,송정역,269955,87405,80945.0,74485.0,87405,38327,38502.0,38590.0
3120115,김포공항역(김포공항),9563,2716,2652.8333333333335,2589.6666666666665,2716,1365,1419.0,1344.8
3120114,목동신시가지,1427781,463953,433089.1666666667,402225.3333333333,463953,204209,203990.0,203960.8
3120113,오목교역,2066804,636826,608072.8333333334,579319.6666666666,636826,292581,301731.5,292668.0
3120112,등촌역,1407168,471452,444753.0833333333,418054.1666666666,471452,203669,192906.0,204271.8
3120111,목동사거리,732258,245986,233314.83333333337,220643.66666666663,245986,103796,107148.0,103591.8
3120110,목동역 8번출구,979071,340284,315322.3333333333,290360.6666666667,340284,140055,135775.5,141503.8
3120109,서울남부지방법원,624190,194057,184406.16666666663,174755.3333333333,194057,90029,85347.0,90699.8
3120108,신정네거리역,895156,296766,284331.75,271897.5,296766,128316,127968.0,127844.4
3120107,공덕역(공덕오거리),1376521,421804,378203.0,334602.0,421804,207008,152198.0,214425.2
3120106,마포역,911392,276985,259928.33333333337,242871.66666666663,276985,135246,107560.0,139254.2
3120105,상수역(홍대),988958,335848,312358.5,288869.0,335848,142576,139247.0,142093.2
3120104,연남동(홍대),4579235,1491211,1413119.4166666667,1335027.8333333333,1491211,649667,672345.0,646909.0
3120103,홍대입구역(홍대),3787725,1429844,1261515.9166666667,1093187.8333333333,1429844,537740,558615.5,534098.8
